condition,control,n_biological_replicates_total,n_biological_replicates_with_size_data,n_included_organoids_complete_units,n_complete_units,mean_replicate_median_volume_um3,ci95_low_volume_um3,ci95_high_volume_um3,mean_replicate_median_surface_area_um2,ci95_low_surface_area_um2,ci95_high_surface_area_um2,mean_replicate_median_sphericity,ci95_low_sphericity,ci95_high_sphericity,mean_replicate_median_equivalent_diameter_um,ci95_low_equivalent_diameter_um,ci95_high_equivalent_diameter_um,mean_replicate_fraction_viable_like,mean_replicate_fraction_mixed_signal,mean_replicate_fraction_compromised_like,mean_replicate_fraction_indeterminate,data_origin
unannotated_file_1,sample,1,0,0,1,,,,,,,,,,,,,,,,,user_images_unvalidated
unannotated_file_4,sample,1,1,5,1,3587.637383,,,1865.95459,,,0.5880670759,,,18.99342587,,,0,0,0,1,user_images_unvalidated
