sample_id,condition,biological_replicate,unit_id,batch_id,control,reference_method,primary_instances,reference_instances,primary_median_z_extent_um,reference_median_z_extent_um,object_count_difference_fraction,z_extent_ratio,requires_review,qc_flags
local_1,unannotated_file_1,file_identity_only_1,local_1,batch1,sample,none,3,,28,,,,False,
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,none,8,,33.75,,,,False,
