condition,biological_replicate,control,n_units,n_complete_units,n_nonempty_units,n_included,n_detected,n_fields,mean_detected_count_per_field,median_of_unit_medians_volume_um3,median_of_unit_medians_surface_area_um2,median_of_unit_medians_sphericity,median_of_unit_medians_equivalent_diameter_um,mean_unit_fraction_viable_like,mean_unit_fraction_mixed_signal,mean_unit_fraction_compromised_like,mean_unit_fraction_indeterminate,data_origin
unannotated_file_1,file_identity_only_1,sample,1,1,0,0,3,1,3,,,,,,,,,user_images_unvalidated
unannotated_file_4,file_identity_only_4,sample,1,1,1,5,8,1,8,3587.637383,1865.95459,0.5880670759,18.99342587,0,0,0,1,user_images_unvalidated
