sample_id,condition,biological_replicate,unit_id,batch_id,control,data_origin,status,sample_flags,foreground_fraction,segmentation_threshold,removed_small_instances,segmentation_qc_reference,segmentation_qc_flags,spacing_z_um,spacing_y_um,spacing_x_um,n_detected,n_included,n_excluded,median_volume_um3,median_surface_area_um2,median_sphericity,median_equivalent_diameter_um,total_volume_um3,n_viable_like,fraction_viable_like,n_mixed_signal,fraction_mixed_signal,n_compromised_like,fraction_compromised_like,n_indeterminate,fraction_indeterminate
local_1,unannotated_file_1,file_identity_only_1,local_1,batch1,sample,user_images_unvalidated,ok,high_voxel_anisotropy,0.03474211693,6713.908203,7,none,,2,0.2442000057,0.2442000057,3,0,3,,,,,0,0,,0,,0,,0,
local_4,unannotated_file_4,file_identity_only_4,local_4,batch1,sample,user_images_unvalidated,ok,,0.01626382555,13007.68652,78,none,,1.5,0.4143204047,0.4143204047,8,5,3,3587.637383,1865.95459,0.5880670759,18.99342587,18925.41161,0,0,0,0,0,0,5,1
