sample_id,condition,biological_replicate,image_path,spacing_z_um,spacing_y_um,spacing_x_um
local_1,unannotated_file_1,file_identity_only_1,/Users/jlwang/Desktop/organoid_analysis/data/images/Human-Colon-Organoids-C1.tif,2.0,0.24420000566544012,0.24420000566544012
local_4,unannotated_file_4,file_identity_only_4,/Users/jlwang/Desktop/organoid_analysis/data/images/ZeroG-Breast-Cancer-Spheroid-C1.tif,1.5,0.41432040474131704,0.41432040474131704
