spacing,shape,trial,area_rel_err,volume_rel_err,sphericity_true,sphericity_est,sphericity_rel_err
1x1x1,sphere,0,0.0881551878892,0.000975173024646,1,0.91958391677,-0.0804160832297
1x1x1,sphere,1,0.0848370637766,-0.00111373560344,1,0.921112861159,-0.0788871388411
1x1x1,sphere,2,0.0862328751641,2.02433660947e-05,1,0.920625326665,-0.0793746733353
1x1x1,sphere,3,0.0882026895781,0.000915489920986,1,0.919507223342,-0.0804927766581
1x1x1,sphere,4,0.0871097621705,-0.000695953877819,1,0.91944347452,-0.08055652548
1x1x1,sphere,5,0.0889020038087,0.000467866643541,1,0.918642709151,-0.0813572908491
1x1x1,sphere,6,0.0874069148627,0.000766282161838,1,0.920088676905,-0.0799113230947
1x1x1,sphere,7,0.0874374169697,0.000109768021584,1,0.91966044366,-0.0803395563404
1x1x1,sphere,8,0.0882806933741,0.0005275497472,1,0.919203726581,-0.0807962734191
1x1x1,sphere,9,0.0876209153141,0.0005275497472,1,0.91976133856,-0.0802386614397
1x1x1,sphere,10,0.0898845796445,0.00124374699111,1,0.918288974419,-0.0817110255807
1x1x1,sphere,11,0.0865345934583,-0.000875003188797,1,0.919820303426,-0.080179696574
1x1x1,sphere,12,0.0862144184751,-0.000666112325989,1,0.920219671917,-0.0797803280829
1x1x1,sphere,13,0.0859721501474,-0.00060642922233,1,0.920461609299,-0.0795383907007
1x1x1,sphere,14,0.0869116927558,-0.000487063015011,1,0.919739176256,-0.0802608237436
1x1x1,sphere,15,0.0877962538592,5.00849179244e-05,1,0.919320494181,-0.0806795058186
1x1x1,ellipsoid,0,0.0880279209574,0.0015620568773,0.937340941005,0.862401404312,-0.0799490701992
1x1x1,ellipsoid,1,0.0874778559757,0.000209239861017,0.937340941005,0.862060486124,-0.0803127779745
1x1x1,ellipsoid,2,0.0861954507789,-0.000188647496713,0.937340941005,0.862849362833,-0.0794711666941
1x1x1,ellipsoid,3,0.086886118078,5.00849179246e-05,0.937340941005,0.862438320736,-0.0799096859982
1x1x1,ellipsoid,4,0.0847015292688,-0.000745689797535,0.937340941005,0.863716774378,-0.0785457707081
1x1x1,ellipsoid,5,0.0868196690376,0.000288817332562,0.937340941005,0.862628308297,-0.0797069982117
1x1x1,ellipsoid,6,0.0880029697367,0.00132332446266,0.937340941005,0.862284131835,-0.080074182069
1x1x1,ellipsoid,7,0.0852311955332,0.00012966238947,0.937340941005,0.863799316088,-0.0784577112772
1x1x1,ellipsoid,8,0.0852534327615,-0.000904844740627,0.937340941005,0.863185865538,-0.0791121695679
1x1x1,ellipsoid,9,0.0872089080808,-0.000666112325989,0.937340941005,0.861770574401,-0.0806220696212
1x1x1,ellipsoid,10,0.0845469192485,-0.00193935187072,0.937340941005,0.863151831487,-0.079148478716
1x1x1,ellipsoid,11,0.0889022642603,0.00100501457648,0.937340941005,0.861389395707,-0.0810287292228
1x1x1,ellipsoid,12,0.0882021417617,0.0015620568773,0.937340941005,0.862263334132,-0.0800963700499
1x1x1,ellipsoid,13,0.0874899376194,0.00108459204802,0.937340941005,0.862553795784,-0.0797864917127
1x1x1,ellipsoid,14,0.0853567395701,-0.000427379911351,0.937340941005,0.863378666837,-0.0789064799502
1x1x1,ellipsoid,15,0.0874822333829,0.00140290193421,0.937340941005,0.862742739421,-0.0795849176338
1x1x1,cylinder,0,0.0927183613827,-2.94925536215e-05,0.858535681915,0.785672531825,-0.0848690993573
1x1x1,cylinder,1,0.070115522962,-0.000122332937092,0.858535681915,0.802217745598,-0.0655976653081
1x1x1,cylinder,2,0.0584458442367,0.000103136565622,0.858535681915,0.811184357257,-0.0551535896012
1x1x1,cylinder,3,0.0721682953359,3.68220060001e-05,0.858535681915,0.800766783403,-0.067287708279
1x1x1,cylinder,4,0.0711959192492,-6.92812893945e-05,0.858535681915,0.801436984954,-0.0665070749698
1x1x1,cylinder,5,0.0738097749674,0.00012966238947,0.858535681915,0.799592175001,-0.0686558615511
1x1x1,cylinder,6,0.0727649320915,2.35590940758e-05,0.858535681915,0.800314346968,-0.0678146944537
1x1x1,cylinder,7,0.0716121661554,0.000116399477546,0.858535681915,0.801224855232,-0.0667541581445
1x1x1,cylinder,8,0.0747432948668,-0.000135595849016,0.858535681915,0.798756386768,-0.0696293659146
1x1x1,cylinder,9,0.0803459685105,-2.96672977296e-06,0.858535681915,0.794684303834,-0.0743724220511
