grid,shape,rho_eff,B1a_sdf_mask,B1b_occ_smooth,B2_sdf_true,v2
dev,sphere,11.998767818665629,0.08492161645907936,-0.013407810592178326,-0.002174999535827671,-0.0070039189928782
dev,sphere,12.005949072700004,0.08621769966424919,-0.011996035787733561,-0.0021772256715572036,-0.0055475421386109
dev,sphere,12.005949072700004,0.0882378166507698,-0.01210531881445387,-0.002177967716800344,-0.00531452964795
dev,sphere,23.998502884307687,0.0876982823003325,-0.0012180310067827493,-0.0005443888433086519,-0.0025355421955837
dev,sphere,23.9926982324619,0.08564855096274404,-0.0016678453414558092,-0.0005438491740409335,-0.0029497807448638
dev,sphere,24.002647345642877,0.08883226234920083,-0.0008953087846658159,-0.0005441190086747927,-0.0022432780770501
dev,sphere,36.00164576650477,0.08821573518323089,0.0011604863367784546,-0.00024199416361037063,-0.0008862020474516
dev,sphere,35.998759887634044,0.08760458971912533,0.000993008974018883,-0.00024169434735055173,-0.0010116175916452
dev,sphere,36.002689481103445,0.08794398172529072,0.0012239274573655479,-0.00024175431060258212,-0.0008317503932441
dev,ellipsoid,8.637169153911026,0.0815713378321754,-0.0341397050672152,-0.0011665209722560022,-0.0105579322795668
dev,ellipsoid,8.662694737569652,0.08458335873107115,-0.029878360010001215,-0.001031915702582653,-0.0143956044906442
dev,ellipsoid,8.661634172581387,0.08283263906281801,-0.03059929464766431,-0.0010439535722283066,-0.0086394831236181
dev,ellipsoid,8.652077378312054,0.0795790096085105,-0.034030148293976215,-0.0010351987579405586,-0.0116572485388798
dev,ellipsoid,17.29458210774637,0.08420763128455766,-0.006068730594793514,-0.00027188838723213316,-0.0068362466311393
dev,ellipsoid,17.304154756624108,0.08853713013910847,-0.006524710505610987,-0.00029505216670167034,-0.0067317472157829
dev,ellipsoid,17.311858361945365,0.08578252509919948,-0.005497114178592777,-0.0002749890506257291,-0.0057279215590458
dev,ellipsoid,17.300167440303262,0.08707386020663455,-0.0062868105868071344,-0.0002849598113422447,-0.0069063955153222
dev,ellipsoid,34.61641329068956,0.08880390878559741,0.0012115054586390173,-7.022367200792967e-05,-0.0013077152382925
dev,ellipsoid,34.61388957015921,0.08916516646960759,0.0009974988871621626,-7.15612130797183e-05,-0.0010628241480847
dev,ellipsoid,34.61342463413035,0.0862504212850197,0.000336875192369801,-7.034526665083973e-05,-0.0015113519514935
dev,ellipsoid,34.6132917929708,0.08822633423189519,0.0007151561263840645,-6.882533361485255e-05,-0.0015729008504578
dev,cylinder,15.719936066806056,0.02932994789443777,-0.0389940702456677,-0.014877060173638879,-0.0349035070135954
dev,cylinder,15.725408573814088,0.08266451720535639,-0.039710953409220484,-0.01258987435823855,-0.0316811939780744
dev,cylinder,15.726695669117564,0.08330490225020504,-0.04045137964457912,-0.011801889768659035,-0.0315906296275707
dev,cylinder,15.721867974907944,0.0905435535972492,-0.04224584741852,-0.012960829521160955,-0.0348332529377899
dev,cylinder,31.43407462801624,0.032547051316836884,-0.016349682688022837,-0.007222930949082551,-0.0209520371060484
dev,cylinder,31.45017353413093,0.09196578449375648,-0.017048419472447396,-0.006139747270041629,-0.0178485687085863
dev,cylinder,31.451058495898483,0.09067273692821787,-0.017865478743827157,-0.005673473022702047,-0.0190253858321145
dev,cylinder,31.451058495898483,0.09792744343597759,-0.016959104208634113,-0.006118295416648323,-0.0187589569232908
dev,sphere,12.00222141724757,0.06706217390600266,0.008158849445650374,-0.0010565260689466838,-0.0011938141854338
dev,sphere,12.000563938004364,0.06769985930593259,0.007718614741941243,-0.0010564933426934209,-0.0013953222748157
dev,sphere,11.996971161436516,0.06468155894094219,0.007039299396220056,-0.0010563464082385954,-0.0019534423388208
dev,sphere,18.002879439622085,0.06758370858083795,0.010258427155227956,-0.0004695088488502197,0.0010902251261195
dev,sphere,17.998765856860754,0.06670991833666817,0.009580360051022474,-0.00046925948970222287,0.0006018876474878
dev,sphere,18.001221953321043,0.06715546080048229,0.009970111440846141,-0.0004693442672998316,0.0009531554537614
dev,ellipsoid,8.63850233844026,0.057972197232048384,-0.004746095889197721,-0.0005516000410943356,-0.0084940827719323
dev,ellipsoid,8.657389313203886,0.06638894200846113,0.0006975161416331588,-0.000509059612564533,-0.004897157563786
dev,ellipsoid,8.648621119888237,0.06407421023609405,0.0018887743460216377,-0.00024953849914510773,-0.0091385952570719
dev,ellipsoid,8.658716278877652,0.0664473189864585,0.001144177645779898,-0.000503720245744077,-0.0044733243693669
dev,ellipsoid,17.306878366284163,0.06524418499176576,0.0056909931542292735,-0.00013281144819154989,0.0016033117332701
dev,ellipsoid,17.309069917419954,0.06521179303450331,0.006134020195116996,-0.00011580160467705714,0.0009064763039101
dev,ellipsoid,17.307276871410227,0.06820440353481905,0.01009841899026065,-5.651865760902819e-05,-0.0002740260931342
dev,ellipsoid,17.304752695604183,0.06549874072889117,0.006314215323341088,-0.00012573850216601734,0.0012510126157834
dev,cylinder,15.696716038815882,0.02736226953026999,-0.01803980965227936,-0.010676678081716462,-0.0266828340615297
dev,cylinder,15.721385042394203,0.056401336857657025,-0.007656396057222459,-0.009149049051800029,-0.0224089762497322
dev,cylinder,15.724764947145044,0.06474029940726944,-0.01077208758907755,-0.00783564688730054,-0.0252719441172326
dev,cylinder,15.72347753571844,0.060401341707074785,-0.005543010828793049,-0.009876185393180137,-0.0188799345885035
dev,sphere,8.000560144226919,0.05874868420051582,0.021146889548003367,-0.0018753795215631364,0.0012407740269453
dev,sphere,8.006357653606587,0.059624283714166504,0.02327958268660324,-0.0018743987343378121,0.0023292892265509
dev,sphere,12.001346693587088,0.059250333058889604,0.023746748073108614,-0.0008329241419463562,0.0043161241597231
dev,sphere,12.003065327998952,0.05993403908882322,0.02408118449993646,-0.0008329251140065663,0.0045760191406858
dev,sphere,12.003679006745982,0.060536863664230944,0.024168982988728382,-0.0008328803857745593,0.0046498052329932
dev,ellipsoid,11.537409675661662,0.058264304073674555,0.011745068053949259,-0.00016548590392884144,0.0047666290980128
dev,ellipsoid,11.5370775415322,0.05787857877160785,0.013249015409233067,-0.00012334688158632812,0.0025005828258277
dev,ellipsoid,11.540398022686013,0.059216582474327595,0.026593776653919265,4.2852817209615424e-05,0.0020513978618623
dev,ellipsoid,11.53727682430462,0.05808035573314263,0.014152185520929228,-0.00014281078510447465,0.0059952599187598
dev,cylinder,10.472223089173593,0.020118741254548045,-0.017144054054991753,-0.018022602419511924,-0.0297000292448996
dev,cylinder,10.4820501176064,0.04719967531988134,0.0031224280179238395,-0.013891194520314731,-0.020703513532875
dev,cylinder,10.483498448057444,0.05196619334966779,0.0046426806201447235,-0.010346626604488485,-0.0188754778124812
dev,cylinder,10.48711752447024,0.05291826878609052,0.005126265024310239,-0.012988337012884599,-0.0174316250887573
dev,sphere,11.99989252862828,0.0604984338249801,0.021309378846680493,-0.0008520566162817378,-0.0034268518648356
dev,sphere,12.000907902592663,0.05991016610645561,0.021533878030824738,-0.0008516578714029555,-0.0032482872680092
dev,sphere,11.9953550923247,0.058274961680310655,0.019364270686671015,-0.0008517760981944233,-0.0048376025589584
dev,sphere,18.00253875902482,0.06115581414589455,0.022817738975281943,-0.00037839352086488365,-0.0016843252051673
dev,sphere,18.001877003827925,0.060840172966328154,0.022713019612851326,-0.0003783881294836533,-0.0016926676540345
dev,sphere,18.002989927857627,0.06109860619405505,0.022813392013794287,-0.00037839808504636085,-0.0016113534411934
dev,ellipsoid,8.657030962720707,0.058740307306646145,0.009711962062203927,-0.0003187027528753772,-0.0080415412480325
dev,ellipsoid,8.657161034103664,0.05959599367499502,0.011903479492866298,-0.00026533066317091514,-0.0051974213588944
dev,ellipsoid,8.657291101578167,0.05796305758360254,0.021432662251687384,8.816577605186282e-05,-0.0076529509999774
dev,ellipsoid,8.655990250917485,0.05949292276757845,0.011775813646109912,-0.00026422498226397195,-0.0050954420665003
dev,ellipsoid,17.30697002408821,0.05996512695987555,0.012000321875593745,-8.034320394223471e-05,-0.0052368153571646
dev,ellipsoid,17.30426836821014,0.059094839660381426,0.013199941442512575,-6.164420945375948e-05,-0.0033935962553827
dev,ellipsoid,17.30866219810922,0.061792254883799025,0.025793246593966757,4.062956393324768e-06,-0.0024474943918866
dev,ellipsoid,17.306351647184908,0.05996687883403551,0.01406904495668071,-6.571979334024647e-05,-0.0019229069470653
dev,cylinder,15.721645829636524,0.02690056150121789,-0.009707769323144655,-0.01192482224545377,-0.0302712037771037
dev,cylinder,15.725312837682702,0.05346465618705332,0.00930235711509364,-0.008401482490961287,-0.0191949276334872
dev,cylinder,15.724603227662216,0.056674619181262154,0.008689733797049959,-0.006668957336776193,-0.0208967306510697
dev,cylinder,15.72464265212136,0.055148869314564086,0.010549396824931057,-0.009310315507360278,-0.0169273378741778
confirm,sphere,13.335080938770483,0.07383963724892517,0.0008496800236545976,-0.0010987710976692044,-0.0040228132235559
confirm,sphere,13.333091726673194,0.073252329101126,0.00015491551868840325,-0.001097072525177989,-0.0043788258661391
confirm,sphere,20.004842117107582,0.07493043276303846,0.0039522289183864245,-0.0004884066109585028,-0.00124320681972
confirm,sphere,20.00386992710089,0.07466740970962316,0.0038706729071324997,-0.0004884667045866875,-0.001227224993425
confirm,ellipsoid,8.627320470554388,0.07290689594345312,-0.009386516475306972,-0.0007426595942139347,-0.0061326793291531
confirm,ellipsoid,8.613994932288994,0.06700581908576786,-0.011905552070031855,-0.0006438190419614243,-0.0084150661513134
confirm,ellipsoid,8.622090349395139,0.07736083073915534,-0.008069285412500626,-0.00045519318263620434,-0.0074535608152652
confirm,ellipsoid,17.23192131894989,0.07049929697194246,0.00038791268381377364,-0.00018307638141967786,-0.0030611526658256
confirm,ellipsoid,17.234303145763313,0.07031866991510771,0.0005702348489859954,-0.00015449855556515235,-0.0034894636574889
confirm,ellipsoid,17.235136629632603,0.0748642160219195,0.0023946083846437816,-9.106070419839796e-05,-0.0034656922785089
confirm,cylinder,8.282525517838161,0.0246123237145206,-0.03807004868455244,-0.022050894996672454,-0.0399801795090831
confirm,cylinder,8.204982871836519,0.04575791721226197,-0.06145436300063145,-0.020633907498025073,-0.0541059354074003
confirm,cylinder,8.22018994333156,0.054944852800004274,-0.0548521211500369,-0.020259673971057657,-0.0478513189420334
confirm,cylinder,16.388002821387513,0.018144172512651435,-0.030457524641129274,-0.015866687263749624,-0.0399007745358674
confirm,cylinder,16.430822056960853,0.06742342607440266,-0.024087867940541408,-0.00935981177846723,-0.0328851158766843
confirm,cylinder,16.443388956523282,0.06860420843182236,-0.022600787650601695,-0.009114031806309653,-0.0286838695339067
