D_v3,aniso,converged_v3,group_order,m,n_directions,n_orbits,reduction,solve_s,spacing,sup_dev_v2,sup_dev_v3,t_star_rel_diff,t_star_v2,t_star_v3,v3_no_worse
0.1731386138755274,1.0,True,48,1,13,3,4.33,0.0,1x1x1,0.042638261391586774,0.042688956953125023,0.0011889687778827707,0.04263826139158657,0.04268895695312437,False
0.49165185250942706,1.0,True,48,2,49,6,8.17,0.0,1x1x1,0.01295195003965155,0.013073074632101278,0.00935184222520724,0.012951950038485554,0.013073074631754238,False
1.0904448633802704,1.0,True,48,3,145,13,11.15,0.0,1x1x1,0.006070053993779689,0.006097609667201187,0.0045253425865596775,0.006070050541649043,0.006097519599867737,False
1.4644485781676428,1.0,True,48,4,289,22,13.14,0.0,1x1x1,0.004167221512215713,0.003423793573530731,0.021381177958877506,0.0033521212417157446,0.003423793542524602,True
2.414802948409547,1.0,True,48,5,577,40,14.43,0.65,1x1x1,,0.0021781551970803115,,,0.0021781530602265208,
3.0853999732563313,1.0,True,48,6,865,55,15.73,1.36,1x1x1,,0.0014834893603501431,,,0.001483489360343922,
0.20670090235763092,1.2,True,16,1,13,5,2.6,0.01,1.2x1x1,0.05224989301156513,0.05231469883855033,0.001240305448492629,0.052249893011564845,0.05231469883855024,False
0.5583216483385738,1.2,True,16,2,49,12,4.08,0.05,1.2x1x1,0.017686502657020764,0.017723360630270246,0.0020839604991713667,0.017686502656783048,0.017723360629688274,False
1.2351443700432496,1.2,True,16,3,145,29,5.0,0.22,1.2x1x1,0.008415533407818754,0.008488248424508571,0.008640571894481308,0.008415533402867834,0.008488248424265722,False
1.6630222780552115,1.2,True,16,4,289,52,5.56,0.67,1.2x1x1,0.004985183635682344,0.004917810156227942,0.0066991978293069465,0.004885084008688812,0.004917810152875802,True
2.777279203506197,1.2,True,16,5,577,98,5.89,7.66,1.2x1x1,,0.0031260751863774194,,,0.003116623127193909,
3.348465294349707,1.2,False,16,6,865,139,6.22,249.56,1.2x1x1,,0.002307496937826281,,,0.0021242999876693726,
0.3325069693761167,2.0,True,16,1,13,5,2.6,0.0,2x1x1,0.09291895429800245,0.09297437854548585,0.0005964794578576793,0.09291895429800204,0.0929743785454864,False
0.7644480832924004,2.0,True,16,2,49,12,4.08,0.0,2x1x1,0.03798513604081344,0.03808349371623465,0.002589372782886068,0.03798513603788708,0.03808349371529781,False
1.72713768646973,2.0,True,16,3,145,29,5.0,0.0,2x1x1,0.020794238630212014,0.020886440646897597,0.00443401745775307,0.020794238629693394,0.02088644064679814,False
2.4027933824118666,2.0,True,16,4,289,52,5.56,0.0,2x1x1,0.01270863818723944,0.01280677211352077,0.00772182862600701,0.012708638187085583,0.012806772113236187,False
3.878971861119083,2.0,True,16,5,577,98,5.89,1.52,2x1x1,,0.008471276586420329,,,0.008471276585865875,
5.182844279263619,2.0,True,16,6,865,139,6.22,7.08,2x1x1,,0.0060791452107646915,,,0.0060791452001899325,
0.3611111517987365,2.2,True,16,1,13,5,2.6,0.02,2.2x1x1,0.1003758635697024,0.10042238436939299,0.0004634659799929164,0.10037586356919416,0.1004223843671709,False
0.8087290119975777,2.2,True,16,2,49,12,4.08,0.03,2.2x1x1,0.04306488391064933,0.04316536237568602,0.002333187989792318,0.04306488390544777,0.043165362375357764,False
1.5353082263801305,2.2,True,16,3,145,29,5.0,0.13,2.2x1x1,0.02414083763818553,0.02421896026366077,0.00323612163256759,0.024140837576949025,0.024218960263660088,False
2.4578577437774363,2.2,True,16,4,289,52,5.56,0.42,2.2x1x1,0.01512048206051042,0.015175237002565067,0.0036212431407149914,0.015120482060475964,0.015175237002421765,False
3.5541915266911412,2.2,True,16,5,577,98,5.89,37.12,2.2x1x1,,0.010192371629906383,,,0.010192371629791553,
5.279749335568617,2.2,True,16,6,865,139,6.22,4.41,2.2x1x1,,0.007162012531573669,,,0.007161935892743076,
0.23338322757406274,2.8571,True,16,1,13,5,2.6,0.01,2x0.7x0.7,0.11836482970461204,0.11839628170855865,0.00026572085987353056,0.11836482970423091,0.1183962817085587,False
0.46171433546661955,2.8571,True,16,2,49,12,4.08,0.03,2x0.7x0.7,0.05825331471317319,0.05834304991444572,0.001702271871835137,0.058243902956375986,0.05834304991408452,False
0.7552314129980923,2.8571,True,16,3,145,29,5.0,0.12,2x0.7x0.7,0.035917037476608016,0.03599231282711801,0.0020958117833103085,0.035917037475936164,0.03599231282629983,False
1.3685654223929593,2.8571,True,16,4,289,52,5.56,0.26,2x0.7x0.7,0.027393077148798683,0.023370565350079087,0.001030615614300956,0.023346504073471944,0.023370565345109406,True
1.9121781357069896,2.8571,True,16,5,577,98,5.89,1.01,2x0.7x0.7,,0.01601800048474744,,,0.016018000463386695,
2.9340566147760616,2.8571,True,16,6,865,139,6.22,3.09,2x0.7x0.7,,0.011649220958840356,,,0.011649220956911397,
0.34064585950738063,3.125,True,16,1,13,5,2.6,0.02,2.5x0.8x0.8,0.12403634845660605,0.12408035128175376,0.00035548804863760886,0.12403625787448092,0.12408035128175302,False
0.656636711160729,3.125,True,16,2,49,12,4.08,0.03,2.5x0.8x0.8,0.06428039122642604,0.06437349971186968,0.0014484745408518407,0.0642803912017373,0.06437349971186901,False
1.5159604648216758,3.125,True,16,3,145,29,5.0,0.1,2.5x0.8x0.8,0.04048575092682172,0.04058480992543623,0.0024467690241725126,0.04048575064436492,0.040584809924961926,False
2.2857796813546782,3.125,True,16,4,289,52,5.56,0.21,2.5x0.8x0.8,0.026950230382354667,0.02700262763078598,0.0019442226255099726,0.0269502303821524,0.027002627629824083,False
2.791788623410543,3.125,True,16,5,577,98,5.89,0.87,2.5x0.8x0.8,,0.018829032896364506,,,0.018829032896325423,
2.7957904032922083,3.125,True,16,6,865,139,6.22,13.61,2.5x0.8x0.8,,0.013836764181502481,,,0.013836763801738174,
0.5054532483998396,3.0,True,16,1,13,5,2.6,0.02,3x1x1,0.12139759922528393,0.12143188998848775,0.00028246657042863,0.12139759922497628,0.12143188998848763,False
0.9872745937409794,3.0,True,16,2,49,12,4.08,0.03,3x1x1,0.06148150457568713,0.061561076326547615,0.0012942388363519353,0.06148150457535631,0.06156107632629509,False
2.1446192886627014,3.0,True,16,3,145,29,5.0,0.15,3x1x1,0.037837003811188374,0.0379708099255921,0.003536384911310364,0.037837003699269206,0.0379708099082405,False
2.927926529937949,3.0,True,16,4,289,52,5.56,0.22,3x1x1,0.025041516959433352,0.025161753863617076,0.004775629915011903,0.02504151686718163,0.025161105884249815,False
4.44033147776636,3.0,True,16,5,577,98,5.89,1.01,3x1x1,,0.017588736540684158,,,0.01758873654023938,
6.0719896210999735,3.0,True,16,6,865,139,6.22,3.31,3x1x1,,0.012802657406701723,,,0.012802657387194289,
0.6187253961692889,3.5,True,16,1,13,5,2.6,0.02,3.5x1x1,0.1302968157896658,0.13034238887877592,0.0003497636441815999,0.13029681578965996,0.1303423888787758,False
1.148635911761615,3.5,True,16,2,49,12,4.08,0.04,3.5x1x1,0.07324797838778352,0.07329742786220939,0.0006750969562845377,0.07324797837486885,0.07329742786212372,False
1.6813549536632204,3.5,True,16,3,145,29,5.0,0.12,3.5x1x1,0.0464322038980165,0.04649818897355784,0.0014211068473892752,0.04643220384321286,0.046498188966033825,False
3.6503934624607712,3.5,True,16,4,289,52,5.56,0.36,3.5x1x1,0.031821138513037805,0.031889176147462006,0.0021381266692819256,0.031821138510621495,0.03188917613551797,False
4.0109476466721405,3.5,True,16,5,577,98,5.89,1.47,3.5x1x1,,0.02284822370228845,,,0.022848223702256677,
5.738886338020169,3.5,True,16,6,865,139,6.22,1.52,3.5x1x1,,0.016722617285699126,,,0.01672261723378511,
0.26960894671534924,4.0,True,16,1,13,5,2.6,0.02,2.4x0.6x0.6,0.13691681715904092,0.13695438013892003,0.00027434891532718275,0.1369168171586401,0.13695438013891761,False
0.45306711056048915,4.0,True,16,2,49,12,4.08,0.05,2.4x0.6x0.6,0.08443567550363984,0.08448442163039638,0.000577317027199209,0.084435675477173,0.08448442163032904,False
0.6950951640644217,4.0,True,16,3,145,29,5.0,0.13,2.4x0.6x0.6,0.0542194691160629,0.054292979396979524,0.0013557913531740962,0.054219469103342556,0.05429297939072655,False
1.4424717863935161,4.0,True,16,4,289,52,5.56,0.27,2.4x0.6x0.6,0.03780086306365493,0.03794154905110236,0.003721766510313973,0.03780086305900337,0.03794154904519733,False
1.7289561298422962,4.0,True,16,5,577,98,5.89,1.16,2.4x0.6x0.6,,0.02792219854844502,,,0.027922198439124506,
2.2055520946344154,4.0,True,16,6,865,139,6.22,1.3,2.4x0.6x0.6,,0.020854175342281955,,,0.02085417517109843,
0.7489137408759698,4.0,True,16,1,13,5,2.6,0.0,4x1x1,0.13691681715883242,0.13695438013892003,0.00027434891448430143,0.13691681715875545,0.13695438013891761,False
1.2585197515569144,4.0,True,16,2,49,12,4.08,0.0,4x1x1,0.08443567548141051,0.08448442163039638,0.0005773170222096446,0.08443567547759406,0.08448442163032904,False
1.9308199001789497,4.0,True,16,3,145,29,5.0,0.0,4x1x1,0.05421946910517694,0.054292979396979524,0.0013557913193600335,0.054219469105173446,0.05429297939072655,False
4.006866073315323,4.0,True,16,4,289,52,5.56,0.0,4x1x1,0.03780086471594357,0.03794154905110236,0.0037217665086126672,0.03780086305906744,0.03794154904519733,False
4.802655916228601,4.0,True,16,5,577,98,5.89,0.0,4x1x1,,0.02792219854844502,,,0.027922198439124506,
6.12653359620671,4.0,True,16,6,865,139,6.22,0.0,4x1x1,,0.020854175342281955,,,0.02085417517109843,
1.0599483507140088,5.0,True,16,1,13,5,2.6,0.02,5x1x1,0.14628035463333466,0.14631979641447157,0.00026963144183800303,0.14628035463153452,0.1463197964144664,False
1.5616631386883064,5.0,True,16,2,49,12,4.08,0.04,5x1x1,0.10069311384651902,0.10082290240093883,0.0012889516911855914,0.10069311384142264,0.10082290240079929,False
2.462521414153828,5.0,True,16,3,145,29,5.0,0.13,5x1x1,0.06886712073354695,0.06897354462034522,0.0015454468825044643,0.0688671141532177,0.06897354462009286,False
3.1912567466493655,5.0,True,16,4,289,52,5.56,0.23,5x1x1,0.05240500893565425,0.05055128127205066,0.0005530263639341726,0.05052334026433163,0.05055128100349182,True
6.1838970713029795,5.0,True,16,5,577,98,5.89,0.74,5x1x1,,0.0379365982906108,,,0.03793659828875208,
6.355013111292567,5.0,True,16,6,865,139,6.22,1.34,5x1x1,,0.02947638152437615,,,0.029476381524124465,
