case_id,shape,area_rel_err,volume_rel_err,sphericity_rel_err,weights_origin
confirm2-0179-torus-rho13-sp2.2x1x1-rot1,torus,-0.0006093822020620809,-2.9049550274828917e-05,0.0005903755057727889,packaged
confirm2-0180-sphere-rho15-sp2.2x1x1-offset0,sphere,-0.0012982639693741582,0.0001916290523455988,0.0014278663385176582,packaged
confirm2-0181-sphere-rho15-sp2.2x1x1-offset1,sphere,-0.001264747650510989,0.00020624383132550328,0.0014040145363007905,packaged
confirm2-0182-ellipsoid-rho15-sp2.2x1x1-rot0,ellipsoid,0.0014784594967487408,0.0002396490404228402,-0.001316753084313893,packaged
confirm2-0183-ellipsoid-rho15-sp2.2x1x1-rot1,ellipsoid,-1.614479532618951e-05,-7.770044599952897e-05,-3.56567485186865e-05,packaged
confirm2-0188-capsule-rho15-sp2.2x1x1-rot0,capsule,0.00018185566996664626,-0.00024222110080285297,-0.0003432804960392666,packaged
confirm2-0189-capsule-rho15-sp2.2x1x1-rot1,capsule,-0.0002945691470883638,0.00021208974291742066,0.00043608576891074335,packaged
confirm2-0190-torus-rho15-sp2.2x1x1-rot0,torus,0.0005804020360129503,1.3196210026933386e-05,-0.0005712730139898481,packaged
confirm2-0191-torus-rho15-sp2.2x1x1-rot1,torus,-0.0001056411216870945,-0.00012636464898474475,2.13985086017221e-05,packaged
confirm2-0252-sphere-rho11-sp3.5x1x1-offset0,sphere,0.0028701262201646927,0.0002023935556016987,-0.002727373827015711,packaged
confirm2-0253-sphere-rho11-sp3.5x1x1-offset1,sphere,0.0023809541322088457,-0.00020757946513527692,-0.002513361033096184,packaged
confirm2-0254-ellipsoid-rho11-sp3.5x1x1-rot0,ellipsoid,0.0055460552084392045,0.00030488681078577606,-0.005313339586933141,packaged
confirm2-0255-ellipsoid-rho11-sp3.5x1x1-rot1,ellipsoid,0.0016040362320686175,-3.815183921851428e-05,-0.0016268614086356603,packaged
confirm2-0260-capsule-rho11-sp3.5x1x1-rot0,capsule,0.008450082881659604,0.00015679451554007073,-0.00827562620869493,packaged
confirm2-0261-capsule-rho11-sp3.5x1x1-rot1,capsule,0.0021207006088939107,0.00016014123407659397,-0.002009680704348371,packaged
confirm2-0262-torus-rho11-sp3.5x1x1-rot0,torus,0.004870787620907757,-0.004297902748047311,-0.007700604481901463,packaged
confirm2-0263-torus-rho11-sp3.5x1x1-rot1,torus,0.004556342680036796,0.00014645433484439252,-0.0044384855785839505,packaged
confirm2-0264-sphere-rho13-sp3.5x1x1-offset0,sphere,0.0035956181482288407,0.00016004069542230326,-0.003476427291907891,packaged
confirm2-0265-sphere-rho13-sp3.5x1x1-offset1,sphere,0.0036950656143655003,0.000443894829293745,-0.0033866437466196775,packaged
confirm2-0266-ellipsoid-rho13-sp3.5x1x1-rot0,ellipsoid,0.005653365738916172,1.5579216577243926e-05,-0.005611257132672742,packaged
confirm2-0267-ellipsoid-rho13-sp3.5x1x1-rot1,ellipsoid,0.002061484152433124,2.5716864215485913e-05,-0.002040133945974021,packaged
confirm2-0272-capsule-rho13-sp3.5x1x1-rot0,capsule,0.009070035893953943,0.0006912534316672048,-0.00853186899091507,packaged
confirm2-0273-capsule-rho13-sp3.5x1x1-rot1,capsule,0.0029719142744792926,5.0554100929245394e-05,-0.00292950558502314,packaged
confirm2-0274-torus-rho13-sp3.5x1x1-rot0,torus,0.005172038981550164,0.0017735658805917431,-0.003969480647954771,packaged
confirm2-0275-torus-rho13-sp3.5x1x1-rot1,torus,0.004875371666751338,3.4176764578397467e-06,-0.004849450344269313,packaged
confirm2-0276-sphere-rho15-sp3.5x1x1-offset0,sphere,0.003999034562062631,0.00010223432671541133,-0.0039152223958379695,packaged
confirm2-0277-sphere-rho15-sp3.5x1x1-offset1,sphere,0.004039684038115832,0.00018884926173146077,-0.0038980416360567816,packaged
confirm2-0278-ellipsoid-rho15-sp3.5x1x1-rot0,ellipsoid,0.005917902874835512,-5.2847652170395776e-05,-0.005918112140426257,packaged
confirm2-0279-ellipsoid-rho15-sp3.5x1x1-rot1,ellipsoid,0.0025668595475158984,7.253777756699442e-05,-0.0025120535251805798,packaged
confirm2-0284-capsule-rho15-sp3.5x1x1-rot0,capsule,0.009507790402217164,-0.00010399170903696575,-0.009486919765193336,packaged
confirm2-0285-capsule-rho15-sp3.5x1x1-rot1,capsule,0.002848538997786587,-2.2161218050431586e-05,-0.002855180105845845,packaged
confirm2-0286-torus-rho15-sp3.5x1x1-rot0,torus,0.005111091224356379,-0.0044610192794144465,-0.00804619482516189,packaged
confirm2-0287-torus-rho15-sp3.5x1x1-rot1,torus,0.005066260519995813,8.031882432435467e-05,-0.00498744764477943,packaged
confirm2-0444-sphere-rho11-sp2.4x0.6x0.6-offset0,sphere,0.0031327862544077156,-0.0004761667008189585,-0.0034394807616482392,packaged
confirm2-0445-sphere-rho11-sp2.4x0.6x0.6-offset1,sphere,0.0030750072443535004,-0.00044253610146161027,-0.003359721906872948,packaged
confirm2-0446-ellipsoid-rho11-sp2.4x0.6x0.6-rot0,ellipsoid,0.005259558309928192,1.3879175530862042e-05,-0.005222835738534215,packaged
confirm2-0447-ellipsoid-rho11-sp2.4x0.6x0.6-rot1,ellipsoid,0.0012809158633277917,2.0285003979880756e-05,-0.0012657712266173071,packaged
confirm2-0452-capsule-rho11-sp2.4x0.6x0.6-rot0,capsule,0.00822644613703627,0.0006595866831911046,-0.007723235228201175,packaged
confirm2-0453-capsule-rho11-sp2.4x0.6x0.6-rot1,capsule,0.0032856588077736504,-8.348941689451106e-05,-0.00333037671198666,packaged
confirm2-0454-torus-rho11-sp2.4x0.6x0.6-rot0,torus,0.005551159603369937,-0.004102737632129205,-0.008242436634918748,packaged
confirm2-0455-torus-rho11-sp2.4x0.6x0.6-rot1,torus,0.005666493657271232,0.0002103516776181813,-0.00549512602472646,packaged
confirm2-0456-sphere-rho13-sp2.4x0.6x0.6-offset0,sphere,0.0037706533460082348,-0.000715499618866855,-0.0042317535166482845,packaged
confirm2-0457-sphere-rho13-sp2.4x0.6x0.6-offset1,sphere,0.003691055942093069,-0.0005660881167609544,-0.004053521859145648,packaged
confirm2-0458-ellipsoid-rho13-sp2.4x0.6x0.6-rot0,ellipsoid,0.005618212494273411,4.417055093197675e-05,-0.005557542223936451,packaged
confirm2-0459-ellipsoid-rho13-sp2.4x0.6x0.6-rot1,ellipsoid,0.002086883654598415,0.00014119100684517605,-0.001988608536900416,packaged
confirm2-0464-capsule-rho13-sp2.4x0.6x0.6-rot0,capsule,0.008569888100503409,3.097576892763243e-05,-0.008476594230465984,packaged
confirm2-0465-capsule-rho13-sp2.4x0.6x0.6-rot1,capsule,0.004089470084630342,-9.384740732087948e-06,-0.00407904545388027,packaged
confirm2-0466-torus-rho13-sp2.4x0.6x0.6-rot0,torus,0.005971419352634566,0.0016723660733695134,-0.004827989214548856,packaged
confirm2-0467-torus-rho13-sp2.4x0.6x0.6-rot1,torus,0.005842502534820548,-0.00010306497337264631,-0.005876878022644583,packaged
confirm2-0468-sphere-rho15-sp2.4x0.6x0.6-offset0,sphere,0.004531412486334263,-0.00017538458478905117,-0.004627370436701139,packaged
confirm2-0469-sphere-rho15-sp2.4x0.6x0.6-offset1,sphere,0.004902073026092246,0.00025344956743089675,-0.004710024898403775,packaged
confirm2-0470-ellipsoid-rho15-sp2.4x0.6x0.6-rot0,ellipsoid,0.005925225131743428,7.282133836628013e-05,-0.005842062625738387,packaged
confirm2-0471-ellipsoid-rho15-sp2.4x0.6x0.6-rot1,ellipsoid,0.0024662667323476217,-3.7071360435292355e-05,-0.002484852815504701,packaged
confirm2-0476-capsule-rho15-sp2.4x0.6x0.6-rot0,capsule,0.00845974298556662,0.000188271828831299,-0.008264318361866363,packaged
confirm2-0477-capsule-rho15-sp2.4x0.6x0.6-rot1,capsule,0.003900903328917016,-0.00013509059522842648,-0.003975457876711386,packaged
confirm2-0478-torus-rho15-sp2.4x0.6x0.6-rot0,torus,0.006223648397164272,0.00034281927735202444,-0.005958034556396208,packaged
confirm2-0479-torus-rho15-sp2.4x0.6x0.6-rot1,torus,0.00604435427209804,8.266054015071411e-05,-0.0059532643655979545,packaged
